Date,Open,High,Low,Close,Adj Close,Volume
2/7/2022,137.449997,137.820007,136.270004,137.240005,130.755249,3759000
2/8/2022,137.229996,137.520004,135.779999,137.020004,130.545639,4181800
2/9/2022,137.839996,138.350006,136.830002,137.789993,131.279236,5393500
2/10/2022,135.470001,136.559998,133.169998,133.520004,128.743332,5978600
2/11/2022,133.899994,134.710007,132.380005,132.690002,127.943031,4176200
2/14/2022,132.589996,132.649994,129.070007,130.149994,125.493889,5345300
2/15/2022,130.639999,131.679993,129.610001,129.940002,125.29142,4394000
2/16/2022,129.449997,130.440002,128.259995,129.179993,124.558601,4875600
2/17/2022,128.050003,128.5,124.849998,124.970001,120.499222,6797000
2/18/2022,124.940002,125.440002,123.610001,124.349998,119.90139,4609200
2/22/2022,124.199997,125,122.68,123.919998,119.486778,5349700
2/23/2022,124.379997,124.699997,121.870003,122.07,117.702965,4086400
2/24/2022,120,122.099998,118.809998,121.970001,117.606537,6563200
2/25/2022,122.050003,124.260002,121.449997,124.18,119.73748,4460900
2/28/2022,122.209999,123.389999,121.040001,122.510002,118.127213,6757300
3/1/2022,122.669998,123.389999,120.699997,121.349998,117.00872,4873300
3/2/2022,122.589996,124.639999,121.800003,123.860001,119.428932,4891400
3/3/2022,124.959999,126.669998,124.239998,125.93,121.424873,5206600
3/4/2022,124.400002,127.349998,124.209999,126.620003,122.090187,4402400
3/7/2022,126.470001,127.910004,125.620003,126.07,121.55986,5047400
3/8/2022,126.620003,128.350006,124.82,125.68,121.183815,4887600
3/9/2022,127.410004,128.100006,125.910004,126.220001,121.704498,4403500
3/10/2022,125.75,126.029999,123.129997,124.349998,119.90139,5326800
3/11/2022,125,126.769997,123.910004,123.959999,119.525345,4119600
3/14/2022,124.449997,125.160004,122.690002,123.940002,119.506065,3289200
3/15/2022,124,125.940002,123.220001,125.639999,121.145248,4021200
3/16/2022,126.5,127.279999,124.709999,127.040001,122.495163,4292800
3/17/2022,127.099998,128.289993,126.529999,127.959999,123.382248,3671900
3/18/2022,127.379997,128.929993,126.370003,128.759995,124.153618,7466000
3/21/2022,129,129.740005,127.400002,128.100006,123.517242,3384600
3/22/2022,128.5,129.300003,127.849998,129.059998,124.442894,2690200
3/23/2022,129.080002,129.320007,128.25,128.300003,123.710091,2924500
3/24/2022,128.330002,129.369995,127.800003,129.25,124.626091,2971100
3/25/2022,129.5,131.399994,129.309998,131.350006,126.650986,3530200
3/28/2022,130.820007,131.5,129.600006,131.470001,126.766678,2483500
3/29/2022,132.039993,132.839996,130.429993,131.940002,127.219872,5791000
3/30/2022,132.009995,133.080002,131.389999,132.130005,127.403076,2622900
3/31/2022,130.720001,131.880005,130,130.020004,125.368553,4274000
4/1/2022,129.660004,130.270004,128.059998,130.149994,125.493889,4012400
4/4/2022,130.259995,130.449997,128.929993,130.270004,125.609604,2809800
4/5/2022,129.850006,131.229996,128.660004,128.889999,124.278976,3107200
4/6/2022,127.779999,129.509995,127.25,129.389999,124.761093,3958100
